Facial Oils for Acne Prone Skin,Price ($),Rating,#Reviews,Ingredients
Beautycounter No. 1 Brightening Facial Oil,69,4.6,52,"Rosa Canina (Dog Rose Or Rose Hip) Fruit Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Ribes Nigrum (Black Currant) Seed Oil, Sclerocarya Birrea (Marula) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Argania Spinosa (Argan) Kernel Oil*, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Tetrahexyldecyl Ascorbate, Tocopherol (Vitamin E), Citrullus Lanatus (Watermelon) Seed Oil, Rosa Damascena (Rose) Flower Oil, Hippophae Rhamnoides (Sea-buckthorn) Fruit Oil"
"Acure Organics - The Essentials Moroccan Argan Oil, Organic Facial Oil",18.99,4.8,31,Argan Oil
Acure Organics - Sensitive Facial Cream Argan Oil,17.98,4.6,30,"jojoba oil, argan oil, aloe vera"
Tata Harper Retinoic Nutrient Face Oil,125,4.5,30,"Rosa Rubiginosa Seed Oil*, Olea Europaea (Olive) Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Prunus armeniaca (Apricot) Kernel Oil*, Sambucus Nigra Fruit Extract, Calendula officinalis (Calendula) Flower Extract*, Borago officinalis (Borage) Leaf Extract, Medicago sativa (Alfalfa) Extract*, Arnica montana (Arnica) Extract*, Tilia europaea (Linden) Leaf & Flower Extract*, Aroma**, Benzyl Alcohol, Citral, Citronellol, Geraniol, Limonene, Linalool"
The Face Shop Rice Water Bright Rich Cleansing Oil,9.5,4.2,33,"CETYL ETHYLHEXANOATE,CAPRYLIC/CAPRIC TRIGLYCERIDE,ISOPROPYL MYRISTATE,SORBETH-30 TETRAOLEATE,POLYGLYCERYL-10 DIISOSTEARATE,GLYCERIN,ORYZA SATIVA (RICE) BRAN OIL,ALEURITES MOLUCCANA SEED OIL,CANOLA OIL,ORYZA ATIVA (RICE) EXTRACT,SAPONARIA OFFICINALIS LEAF EXTRACT,WATER/EAU,PARFUM/FRAGRANCE"
"JASÖN Vitamin E Oil 14,000 IU- Lipid Treatment",5.67,4.8,26,"Tocopheryl Acetate, Carthamus Tinctorius (Safflower) Seed Oil*, Helianthus Annuus (Sunflower) Seed Oil*, Oryza Sativa (Rice) Bran Oil, Persea Gratissima (Avocado) Oil, Benzyl Benzoate, Benzyl Salicylate, Citronellol, Eugenol, Geraniol, Limonene, Linalool, Fragrance (Parfum)"
Advanced Clinicals Rosehip Oil Anti-wrinkle Face Oil,21.62,4.7,20,"Caprylic/Capric Triglyceride, isopropyl myristate, fragrance, rosa canina fruit oil, propylene glycol dicaprate, sunflower seed cake, hordeum vulgare extract, cucumber extract, rice bran extract, Rosemary Extract, sunflower extract, tocopherol, BHT"
bareMinerals Mineralixirs 5-Oil Blend,159.99,4.2,22,"rosehip seed oil, camellia seed oil, grape seed oil, apricot kernel seed oil, sunflower seed oil"
Derma E Illuminating Rosehip & Cranberry Face Oil,16.5,4.7,14,"Organic Helianthus Annuus (Sunflower) Seed Oil*, Ethylhexyl Palmitate, Rosa Canina (Rosehip) Fruit Oil, Organic Cocos Nucifera (Coconut) Oil*, Vaccinium Macrocarpon (Cranberry) Seed Oil, Organic Cucurbita Pepo (Pumpkin) Seed Oil*, Organic Hippophae Rhamnoides (Seabuckthorn) Fruit Oil*, Tocopheryl Acetate (Vitamin E), Natural Fragrance Oils"
F. Miller Face Oil,72,4.6,12,"argania spinosa (argan) oil, prunus dulcis (sweet almond) oil, prunus armeniaca (apricot kernel) oil, simmondsia chinensis (jojoba) oil, rosa canina (rosehip seed) oil, oenothera biennis (evening primrose) oil, punica granatum (pomegranate seed) oil, helianthus anuus (sunflower) oil, calendula officinalis extract, calophyllum inophyllum (tamanu) oil, essential oils of citrus aurantium (neroli), jasminum grandiflorum (jasmine), boswellia carterii (frankincense), lavandula angustifolia (lavender), citrus bergamia (bergamot bf)"
Dr. Hauschka Clarifying Day Oil,30.45,4.4,14,"Anthyllis Vulneraria Extract, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Arachis Hypogaea (Peanut) Oil, Daucus Carota Sativa (Carrot) Root Extract, Hypericum Perforatum Flower/Leaf/Stem Extract, Helianthus Annuus (Sunflower) Seed Oil, Calendula Officinalis Flower Extract, Triticum Vulgare (Wheat) Germ Oil, Melia Azadirachta Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Triticum Vulgare (Wheat) Bran Extract, Fragrance (Parfum), Linalool, Citronellol, Citral, Geraniol, Farnesol, Benzyl Benzoate, Limonene, Eugenol, Benzyl Salicylate, Lecithin, Theobroma Cacao (Cocoa) Seed Butter"
"Cliganic USDA Organic Jojoba Oil, 100% Pure",9.99,4.7,13,Jojoba Oil
Pearlessence Rosehip + Vitamin C Balancing Facial Oil,14.95,4.6,19,"Glycine Soja Oil, Rosehip Oil, Tocopherol, Tetrahexyldecyl Ascorbate (Vitamin C), Fragrance"
NOW Foods - Evening Primrose Oil,11.65,4.4,11,Evening Primrose Oil
The Face Shop Arsainte Aroma Therapy Pure Argan Face Oil,22.9,4.5,7,Argan Oil
Manuka Doctor Replenishing Facial Oil,17.44,3.5,6,"Corylus avellana (Hazel) seed oil, Prunus amygdalus dulcis (Sweet almond) oil, Persea gratissima (Avocado) oil, Vitis vinifera (Grape) seed oil, Triticum vulgare (Wheat) germ oil, Rosa eglentaria (Rosehip) seed oil, Parfum (Fragrance), Leptospermum scoparium branch/leaf oil, Oenothera biennis (Evening primrose) oil, Vaccinium macrocarpon (Cranberry) seed oil, Helianthus annuus (Sunflower) seed oil, Argania spinosa kernel oil, Borago officinalis (Borage) seed oil, Prunus domestica (Plum) seed oil, Prunus persica (Peach) kernel oil, Ribes nigrum (Black currant) seed oil, Rubus idaeus (Raspberry) seed oil, Tocopheryl acetate, Beta-carotene, Daucus carota sativa (Carrot) root extract, Daucus carota sativa (Carrot) seed oil, Ascorbyl palmitate, Citronellol, Coumarin, Hydroxyisohexyl 3-cyclohexene carboxaldehyde, Butylphenyl methylpropional, Limonene, Linalool, Alpha-isomethyl ionone"
Akar Organic Soothe Face Oil,90,4.6,8,"*Adansonia Digitata (Baobab) Seed Oil, *Simmondsia Chinensis (Jojoba) Seed Oil, *Lycium Barbarum (Goji) Seed Oil, *Prunus Amygdalus Dulcis (Almond) Oil, *Hippophae Rhamnoides (Seabuckthorn) Fruit Extract, *Rosa Canina (Rosehip) Seed Extract, *Citrus Aurantium Dulcis (Orange) Peel Oil, *Boswellia Carterii (Frankincense) Oil, *Santalum Spicata Wood (Sandalwood) Oil , *Commiphora Myrrha (Myrrh) Oil, *Helianthus Annuus (Sunflower) Seed oil, *Rosmarinus Officinalis (Rosemary) Leaf Extract"
Desert Essence Balancing Face Oil,11.72,4,6,"Simmondsia Chinensis (Jojoba) Seed Oil, Punica Granatum Seed Oil (Pomegranate), Citrus Aurantium Dulcis (Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida (Lavandin) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Piper Nigrum (Pepper) Fruit Oil, Cedrus Atlantica Wood Oil (Cedarwood), Rosmarinus Officinalis (Rosemary) Leaf Oil, Pelargonium Graveolens Flower Oil (Geranium), Cymbopogon Schoenanthus Oil (Lemongrass)"
morgan miller rose hip facial oil,16,4.5,4,"Safflower Seed Oil, Rosa Canina Fruit Oil, Lavandula Angustifolia Oil, Lemon Peel Oil, Tocopheryl Acetate, Lime Oil, Eucalyptus Globulus Leaf Oil, Rosemary Oil, Juniperus Mexicana Oil, Matricaria Flower Oil, Pelargonium Graveolens Flower Oil"
Balance Me Rose Otto Face Oil,41.33,4.4,5,"Olea Europaea (Olive) Fruit Oil, Vitis Vinifera (Grape) Seed Oil, Camellia Oleifera (Camellia) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Avena Sativa (Oat) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina (Rosehip) Fruit Oil, Crambe Abyssinica (Abyssinian) Seed Oil, Borage Officinalis (Borage) Seed Oil, Cucumis Sativus (Cucumber) Fruit Oil, Viola Odorata (Violet) Leaf Oil, Nelumbo Nucifera (Lotus) Flower Extract, Squalane (Olive), Rubus Chamaemorus (Cloudberry) Seed Oil, Tocopherol (Vitamin E), ¹Rosa Damascena (Rose Otto) Flower Oil, ¹Pelargonium Graveolens (Rose Geranium) Flower Oil, ¹Cymbopogon Martini (Palmarosa) Oil, ²Limonene, ²Linalool, ²Geraniol, ²Citral, ²Citronellol, ²Eugenol, ²Farnesol"
Artnaturals Rosehip Oil 100% Pure Cold Pressed Unrefined Carrier Oil,18,4.5,4,Rosehip Oil
Beauty Foundry Clarifying Natural Tea Tree Facial Oil,39.99,4,3,"Refined Coconut (Coco Nucifera) Oil, Natural Brassica Napus Oil, Lavender (Lavandula Angustifolia) Oil, Mentha Piperita (Peppermint) Leaf Extract, Tea Tree Oil (Melaleuca Alternifolia Extract), Cucumis Sativus (Cucumber) Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Geranium Maculatum Flower Extract, Citrus Aurantium Amara (Bitter Orange) Flower Extract,Natural Sunflower (Helianthus Annus) Oil, Rosemary (Rosmarinus Officinalis) Leaf Extract, Natural Squalane, Vitamin E (Tocopherol), Fragrance, Beta-Carotene"
Absorb The Face Oil,105,5,1,"Pomegranate Seed CO2 (Punica granatum), *Prickly Pear Seed Oil (Opuntia ficus-indica L.), *Raspberry Seed CO2 (Rubus idaeus), Maracuja Oil (P.incaranata), Neroli (Citrus aurantium L. var. amara), Helichrysum (Helichrysum italicum), *Rosemary Antioxi­dant CO2 (Rosmarinus officinalis)"
"PH Factor 5.5 Tea Tree Face Oil with Witch Hazel, Vitamin E Natural Extracts",17.99,5,1,"Caprylic/Capric Triglyceride, Tea Tree Oil, Rice Bran Extract, Rosemary Extract, Sunflower Extract, Tocopherol, Hamamelis Virginiana Leaf/Bark/Twig Extract"
Kiehl's Daily Reviving Concentrate,47,4.5,578,"Caprylic/Capric Triglyceride,Dicaprylyl Ether,Dicaprylyl Carbonate,Squalane,Canola Oil,Helianthus Annuus Seed Oil Unsaponifiables / Sunflower Seed Oil Unsaponifiables,Tocopherol,Limonene,Citrus Aurantium Dulcis Peel Oil / Orange Peel Oil,Coriandrum Sativum Seed Oil / Coriander Seed Oil,Calophyllum Inophyllum Seed Oil,Rosa Rubiginosa Seed Oil,Citrus Grandis Peel Oil / Grapefruit Peel Oil,Zingiber Officinale Root Oil / Ginger Root Oil,Linalool,Citral,Geraniol,Malpighia Punicifolia / Acerola Fruit Extract"
Aveda Tulasara™ Radiant Oleation Oil,39.9,4.5,18,"Prunus Armeniaca (Apricot) Kernel Oil , Caprylic/Capric Triglyceride , Helianthus Annuus (Sunflower) Seed Oil , Simmondsia Chinensis (Jojoba) Seed Oil , Coco-caprylate/Caprate , Cetearyl Isononanoate , Rosa Canina (Rose) Fruit Oil , Prunus Amygdalus Dulcis (Sweet Almond) Oil , Isostearyl Alcohol , Sesamum Indicum (Sesame) Seed Oil , Rosa Damascena (Rose) Flower Oil , Jasminum Grandiflorum (Jasmine) Flower Extract , Pelargonium Graveolens (Geranium) Flower Oil , Cholesterol , Tocopherol , Rosmarinus Officinalis (Rosemary) Extract , Fragrance (Parfum) , Farnesol , Linalool , Benzyl Salicylate , Citronellol , Citral , Benzyl Benzoate , Geraniol"
