,Actual_Ingredient,Map_Ingredient
469,punica granatum (pomegranate seed) oil,Pomegranate Seed Oil
470,helianthus anuus (sunflower) oil,Sunflower Oil
471,calendula officinalis extract,Marigold Extract
472,calophyllum inophyllum (tamanu) oil,Tamanu Oil
473,essential oils of citrus aurantium (neroli),Neroli Oil
474,jasminum grandiflorum (jasmine),Jasmine
475,boswellia carterii (frankincense),Frankincense
476,lavandula angustifolia (lavender),Lavender Oil
477,citrus bergamia (bergamot bf),Bergamot BF
478,Theobroma Cacao (Cocoa) Seed Butter,Cocoa Seed Butter
479,Glycine Soja Oil,Soybean Oil
480,Tetrahexyldecyl Ascorbate (Vitamin C),Vitamin C
481,Corylus avellana (Hazel) seed oil,Hazel Seed Oil
482,Prunus amygdalus dulcis (Sweet almond) oil,Sweet Almond Oil
483,Persea gratissima (Avocado) oil,Avocado Oil
484,Vitis vinifera (Grape) seed oil,Grape Seed Oil
485,Triticum vulgare (Wheat) germ oil,Wheat Germ Oil
486,Rosa eglentaria (Rosehip) seed oil,Rosehip Oil
487,Leptospermum scoparium branch/leaf oil,Tea Tree Oil
488,Oenothera biennis (Evening primrose) oil,Evening Primrose Oil
489,Vaccinium macrocarpon (Cranberry) seed oil,Cranberry Seed Oil
490,Helianthus annuus (Sunflower) seed oil,Sunflower Oil
491,Argania spinosa kernel oil,Argan Oil
492,Borago officinalis (Borage) seed oil,Borage Oil
493,Prunus domestica (Plum) seed oil,Plum Seed Oil
494,Prunus persica (Peach) kernel oil,Peach Kernel Oil
495,Ribes nigrum (Black currant) seed oil,Black Currant Seed Oil
496,Rubus idaeus (Raspberry) seed oil,Raspberry Seed Oil
497,Daucus carota sativa (Carrot) root extract,Carrot Root Extract
498,Daucus carota sativa (Carrot) seed oil,Carrot Seed Oil
499,*Adansonia Digitata (Baobab) Seed Oil,Baobab Oil
500,*Simmondsia Chinensis (Jojoba) Seed Oil,Jojoba Oil
501,*Lycium Barbarum (Goji) Seed Oil,Goji Seed Oil
502,*Prunus Amygdalus Dulcis (Almond) Oil,Almond Oil
503,*Hippophae Rhamnoides (Seabuckthorn) Fruit Extract,Sea Buckthorn Berry Extract
504,*Rosa Canina (Rosehip) Seed Extract,Rosehip Seed Extract
505,*Citrus Aurantium Dulcis (Orange) Peel Oil,Orange Peel Oil
506,*Boswellia Carterii (Frankincense) Oil,Frankincense Oil
507,*Santalum Spicata Wood (Sandalwood) Oil,Sandalwood Oil
508,*Commiphora Myrrha (Myrrh) Oil,Myrrh Oil
509,*Helianthus Annuus (Sunflower) Seed oil,Sunflower Oil
510,*Rosmarinus Officinalis (Rosemary) Leaf Extract,Rosemary Extract
511,Punica Granatum Seed Oil (Pomegranate),Pomegranate Seed Oil
512,Piper Nigrum (Pepper) Fruit Oil,Pepper Fruit Oil
513,Cedrus Atlantica Wood Oil (Cedarwood),Cedarwood Wood Oil
514,Pelargonium Graveolens Flower Oil (Geranium),Geranium Flower Oil
515,Cymbopogon Schoenanthus Oil (Lemongrass),Lemongrass Oil
516,Avena Sativa (Oat) Kernel Oil,Oat Kernel Oil
517,Crambe Abyssinica (Abyssinian) Seed Oil,Abyssinian Seed Oil
518,Borage Officinalis (Borage) Seed Oil,Borage Oil
519,Cucumis Sativus (Cucumber) Fruit Oil,Cucumber Oil
520,Viola Odorata (Violet) Leaf Oil,Violet Leaf Oil
521,Nelumbo Nucifera (Lotus) Flower Extract,Lotus Flower Extract
522,Squalane (Olive),Squalane
523,Rubus Chamaemorus (Cloudberry) Seed Oil,Cloudberry Seed Oil
524,¹Rosa Damascena (Rose Otto) Flower Oil,Rose Otto Flower Oil
525,¹Pelargonium Graveolens (Rose Geranium) Flower Oil,Geranium Flower Oil
526,¹Cymbopogon Martini (Palmarosa) Oil,Palmarosa Oil
527,²Limonene,Limonene
528,²Linalool,Linalool
529,²Geraniol,Geraniol
530,²Citral,Citral
531,²Citronellol,Citronellol
532,²Eugenol,Eugenol
533,²Farnesol,Farnesol
534,Refined Coconut (Coco Nucifera) Oil,Coconut Oil
535,Natural Brassica Napus Oil,Rapeseed Seed Oil
536,Lavender (Lavandula Angustifolia) Oil,Lavender Oil
537,Mentha Piperita (Peppermint) Leaf Extract,Peppermint Leaf Extract
538,Tea Tree Oil (Melaleuca Alternifolia Extract),Tea Tree Oil
539,Cucumis Sativus (Cucumber) Flower Extract,Cucumber Flower Extract
540,Cucumis Sativus (Cucumber) Fruit Extract,Cucumber Extract
541,Citrus Aurantium Amara (Bitter Orange) Flower Extract,Bitter Orange Flower Extract
542,Natural Sunflower (Helianthus Annus) Oil,Sunflower Oil
543,Rosemary (Rosmarinus Officinalis) Leaf Extract,Rosemary Extract
544,*Rosemary Antioxi­dant CO2 (Rosmarinus officinalis),Rosemary Oil
545,Natural Squalane,Squalane
546,Pomegranate Seed CO2 (Punica granatum),Pomegranate Seed Oil
547,*Prickly Pear Seed Oil (Opuntia ficus-indica L.),Prickly Pear Seed Oil
548,*Raspberry Seed CO2 (Rubus idaeus),Raspberry Seed Oil
549,Maracuja Oil (P.incaranata),Maracuja Oil
550,Neroli (Citrus aurantium L. var. amara),Neroli Oil
551,Helichrysum (Helichrysum italicum),Helichrysum Italicum Extract
552,*Rosemary Antioxi\xaddant CO2 (Rosmarinus officinalis),Rosemary Extract
553,*Rosemary Antioxi\xaddant CO2 (Rosmarinus officinalis),Rosemary Extract
554,Helianthus Annuus Seed Oil Unsaponifiables / Sunflower Seed Oil Unsaponifiables,Sunflower Oil
555,Citrus Aurantium Dulcis Peel Oil / Orange Peel Oil,Orange Peel Oil
556,Coriandrum Sativum Seed Oil / Coriander Seed Oil,Coriander Seed Oil
557,Rosa Rubiginosa Seed Oil,Rosehip Oil
558,Citrus Grandis Peel Oil / Grapefruit Peel Oil,Grapefruit Peel Oil
559,Zingiber Officinale Root Oil / Ginger Root Oil,Ginger Root Oil
560,Malpighia Punicifolia / Acerola Fruit Extract,Acerola Fruit Extract
561,Rosa Canina (Rose) Fruit Oil,Rosehip Oil
562,Jasminum Grandiflorum (Jasmine) Flower Extract,Jasmine Extract
563,Pelargonium Graveolens (Geranium) Flower Oil,Geranium Flower Oil
564,Rosmarinus Officinalis (Rosemary) Extract,Rosemary Extract
565,carthamus tinctorius (safflower) seed oil,Safflower Seed Oil
0,Olive\xa0Squalane Oil,Squalane
1,SCLEROCARYA BIRREA _x001E_(MARULA)\xa0SEED OIL.,Marula Oil
2,Tocopheryl Acetate,Tocopherol acetate
4,Geraniol.,Geraniol
6,Rose Hip Seed Oil,Rosehip Oil
13,Alpha-Isomethyl Ionone,Alpha-Isomethyl Ionone
14,Water,Distilled Water
22,Octyldodecanol,Octyldodecanol
25,Wheat Germ Extract,Wheat Germ Extract
26,"Hordeum Vulgare (Barley) Extract\\Extrait D'Orge,",Barley Extract
30,simmondsia chinensis (jojoba) seed oil,Jojoba Oil
31,tanacetumannuum (blue tansy) leaf oil,Blue Tansy Leaf Oil
32,argania spinsosa (argan) oil,Argan Oil
33,tocopherol acetate (vitamin E),Tocopherol acetate
34,rosa centifolia flower (rose) extract,Rose Extract
41,Calendula Officinalis Extract,Marigold Extract
42,Aloe Barbadensis Leaf Extract,Aloe Vera Leaf Juice
46,Coco-Caprylate/Caprate,Coco Caprylate/Caprate
55,Caprylic /Capric Triglyceride (MCT/Fractionated Coconut Oil),Capric Triglyceride
58,Melia Azadirachta Flower Extract,Neem Flower Extract
59,Amino Esters-1 (ex Mimosa Tenuiflora),Amino Esters-1
60,Corallina Ocinalis Extract,Corallina Officinalis Extract
62,Glycerin,Glycerin
69,Caprylic/capric triglyceride,Capric Triglyceride
70,octyldodecanol,Octyldodecanol
71,coco-caprylate/caprate,Coco Caprylate/Caprate
105,EDTA,EDTA
117,Disodium Edta,EDTA
122,CAPRYLIC/CAPRIC TRIGLYCERIDE,Capric Triglyceride
126,GLYCERIN,Glycerin
127,CANOLA OIL,Canola Oil
131,Natural Fragrance Oils,Natural Fragrance
132,Tocopheryl acetate,Tocopherol acetate
133,Beta-carotene,Beta-Carotene
134,Ascorbyl palmitate,Ascorbyl Palmitate
137,Alpha-isomethyl ionone,Alpha-Isomethyl Ionone
139,Eucalyptus Globulus Leaf Oil,Eucalyptus Oil
140,Juniperus Mexicana Oil,Cedarwood Wood Oil
145,Coco-caprylate/Caprate,Coco Caprylate/Caprate
